Customer_ID,Age,Gender,City,State,Customer_Segment,Account_Type,Registration_Date
CUST100001,56,Male,Pune,Maharashtra,Affluent,Digital,24-05-2025
CUST100002,69,Female,Mysuru,Uttar Pradesh,Mass,Current,04-03-2020
CUST100003,46,Female,Chennai,Maharashtra,Mass,Savings,02-12-2020
CUST100004,32,Male,Kochi,Gujarat,Mass,Savings,23-02-2023
CUST100005,60,Female,Surat,Tamil Nadu,Mass,Digital,05-09-2020
CUST100006,25,Male,Chennai,Uttar Pradesh,Mass,Current,06-12-2020
CUST100007,38,Female,Ahmedabad,Karnataka,Mass,Savings,28-10-2024
CUST100008,56,Male,Hyderabad,Uttar Pradesh,Premium,Savings,25-07-2022
CUST100009,36,Female,Ahmedabad,Maharashtra,Affluent,Digital,09-11-2024
CUST100010,40,Female,Noida,Gujarat,Mass,Savings,11-02-2025
CUST100011,28,Female,Noida,West Bengal,Mass,Savings,23-11-2022
CUST100012,28,Male,Lucknow,Gujarat,Mass,Digital,13-04-2020
CUST100013,41,Female,Pune,Rajasthan,Mass,Savings,04-09-2023
CUST100014,53,Male,Jaipur,West Bengal,Mass,Savings,20-11-2025
CUST100015,57,Male,Lucknow,Telangana,Mass,Savings,26-05-2022
CUST100016,41,Male,Nagpur,Tamil Nadu,Mass,Current,05-05-2024
CUST100017,20,Female,Kolkata,Kerala,Premium,Savings,28-11-2022
CUST100018,39,Female,Hyderabad,Delhi,Affluent,Savings,17-10-2021
CUST100019,19,Male,Surat,Rajasthan,Affluent,Digital,04-12-2022
CUST100020,41,Female,Kolkata,Gujarat,Mass,Digital,30-05-2022
CUST100021,61,Female,Pune,Rajasthan,Premium,Savings,14-02-2025
CUST100022,47,Male,Ahmedabad,Maharashtra,Mass,Digital,12-01-2020
CUST100023,55,Male,Jaipur,Karnataka,Mass,Digital,30-04-2020
CUST100024,19,Male,New Delhi,Karnataka,Mass,Digital,05-02-2024
CUST100025,38,Female,Jaipur,Telangana,Mass,Digital,03-03-2020
CUST100026,50,Male,Hyderabad,Tamil Nadu,Mass,Savings,08-07-2020
CUST100027,29,Female,Bengaluru,Kerala,Mass,Current,03-01-2020
CUST100028,39,Male,Kolkata,Kerala,Premium,Savings,27-01-2020
CUST100029,61,Male,Kochi,West Bengal,Premium,Savings,26-03-2022
CUST100030,42,Male,Bengaluru,Karnataka,Affluent,Savings,12-01-2025
CUST100031,66,Male,Kochi,Uttar Pradesh,Mass,Digital,07-12-2025
CUST100032,44,Male,Nagpur,Karnataka,Mass,Digital,30-07-2021
CUST100033,59,Male,Noida,Maharashtra,Mass,Savings,08-07-2024
CUST100034,45,Female,New Delhi,Karnataka,Mass,Savings,13-08-2021
CUST100035,33,Male,Nagpur,Delhi,Mass,Digital,17-08-2022
CUST100036,32,Female,Kochi,Telangana,Mass,Current,30-01-2024
CUST100037,64,Female,Chennai,West Bengal,Mass,Current,26-05-2022
CUST100038,68,Female,Bengaluru,Telangana,Mass,Savings,04-10-2023
CUST100039,61,Female,Bengaluru,Maharashtra,Affluent,Savings,02-05-2020
CUST100040,69,Female,Pune,Uttar Pradesh,Affluent,Savings,08-03-2024
CUST100041,20,Male,Pune,Rajasthan,Affluent,Savings,19-11-2021
CUST100042,54,Female,Ahmedabad,Karnataka,Mass,Digital,25-05-2021
CUST100043,68,Female,Mysuru,Maharashtra,Mass,Savings,05-09-2023
CUST100044,24,Female,Nagpur,West Bengal,Mass,Digital,06-02-2023
CUST100045,38,Female,New Delhi,Delhi,Mass,Digital,07-09-2020
CUST100046,26,Female,New Delhi,Delhi,Mass,Savings,06-02-2025
