Merchant_ID,Merchant_Category,City,State
MER100001,Fuel,Noida,Delhi
MER100002,Retail,Bengaluru,Delhi
MER100003,Utilities,Mumbai,Rajasthan
MER100004,Healthcare,Mumbai,Tamil Nadu
MER100005,Fuel,Surat,West Bengal
MER100006,Food & Dining,Nagpur,Maharashtra
MER100007,Travel,Pune,Telangana
MER100008,Fuel,New Delhi,West Bengal
MER100009,Food & Dining,Pune,Kerala
MER100010,Entertainment,Bengaluru,West Bengal
MER100011,Entertainment,Hyderabad,Telangana
MER100012,E-commerce,Jaipur,Rajasthan
MER100013,Grocery,Mumbai,Gujarat
MER100014,Utilities,Surat,Telangana
MER100015,Grocery,Surat,Telangana
MER100016,Retail,Chennai,Karnataka
MER100017,Travel,Kolkata,Tamil Nadu
MER100018,Education,Bengaluru,Telangana
MER100019,Grocery,Mumbai,Tamil Nadu
MER100020,Utilities,New Delhi,West Bengal
MER100021,Grocery,Hyderabad,Rajasthan
MER100022,Healthcare,Bengaluru,West Bengal
MER100023,Travel,Mumbai,Karnataka
MER100024,E-commerce,Mysuru,Rajasthan
MER100025,Education,Hyderabad,Telangana
MER100026,Travel,Bengaluru,Tamil Nadu
MER100027,Travel,Mumbai,Kerala
MER100028,Food & Dining,Ahmedabad,Telangana
MER100029,Fuel,Hyderabad,Rajasthan
MER100030,Food & Dining,Pune,Telangana
MER100031,Utilities,New Delhi,West Bengal
MER100032,Food & Dining,Pune,Telangana
MER100033,Grocery,Mysuru,West Bengal
MER100034,Grocery,Pune,Uttar Pradesh
MER100035,Education,Chennai,Kerala
MER100036,Healthcare,Mumbai,Uttar Pradesh
MER100037,Utilities,Pune,Kerala
MER100038,Grocery,Surat,West Bengal
MER100039,Retail,Kochi,Karnataka
MER100040,Utilities,Lucknow,West Bengal
MER100041,Travel,Chennai,West Bengal
MER100042,Education,Mumbai,Kerala
MER100043,Utilities,Hyderabad,Delhi
MER100044,E-commerce,Jaipur,Delhi
MER100045,Education,Jaipur,Gujarat
MER100046,Fuel,Nagpur,Tamil Nadu
MER100047,Utilities,Bengaluru,Delhi
MER100048,Fuel,Mysuru,Delhi
MER100049,Entertainment,Mumbai,Kerala
MER100050,Grocery,Lucknow,Karnataka
MER100051,Entertainment,Kolkata,Rajasthan
MER100052,Utilities,Lucknow,Uttar Pradesh
MER100053,Food & Dining,Kolkata,Gujarat
MER100054,Retail,Mysuru,Karnataka
MER100055,Utilities,Kolkata,Kerala
MER100056,Utilities,Ahmedabad,West Bengal
MER100057,Grocery,Mumbai,Delhi
MER100058,Education,Nagpur,Kerala
MER100059,Healthcare,Surat,Gujarat
MER100060,Retail,Bengaluru,West Bengal
MER100061,Grocery,Pune,Delhi
MER100062,Fuel,Nagpur,Rajasthan
MER100063,Utilities,Kolkata,Rajasthan
MER100064,Utilities,Ahmedabad,Delhi
MER100065,Education,Kochi,Telangana
MER100066,Healthcare,Ahmedabad,Rajasthan
MER100067,E-commerce,Surat,Uttar Pradesh
MER100068,Healthcare,Ahmedabad,Tamil Nadu
MER100069,Travel,Nagpur,Uttar Pradesh
MER100070,Fuel,Pune,Telangana
MER100071,Utilities,Jaipur,Rajasthan
MER100072,Healthcare,Surat,Tamil Nadu
MER100073,Travel,Bengaluru,Gujarat
MER100074,Grocery,Surat,Telangana
MER100075,Entertainment,Pune,West Bengal
MER100076,Grocery,Jaipur,Gujarat
MER100077,Utilities,Surat,Karnataka
MER100078,Entertainment,Surat,Maharashtra
MER100079,Food & Dining,Kochi,Gujarat
MER100080,Travel,Hyderabad,Gujarat
MER100081,Education,New Delhi,West Bengal
MER100082,Fuel,Kochi,Gujarat
MER100083,Education,Ahmedabad,Rajasthan
MER100084,Utilities,Ahmedabad,Maharashtra
MER100085,Travel,Nagpur,Maharashtra
MER100086,Entertainment,Mumbai,Maharashtra
MER100087,Travel,Surat,Tamil Nadu
MER100088,Healthcare,Lucknow,Delhi
MER100089,Retail,New Delhi,Gujarat
MER100090,Utilities,Lucknow,Kerala
MER100091,Fuel,New Delhi,Karnataka
MER100092,E-commerce,Ahmedabad,Tamil Nadu
MER100093,Entertainment,Kolkata,Tamil Nadu
MER100094,Entertainment,Hyderabad,Tamil Nadu
MER100095,Entertainment,Chennai,Tamil Nadu
MER100096,Utilities,Kolkata,Maharashtra
MER100097,Education,Ahmedabad,Gujarat
MER100098,Food & Dining,Kolkata,Telangana
MER100099,Utilities,Kolkata,Rajasthan
MER100100,Fuel,Lucknow,Kerala
MER100101,E-commerce,Nagpur,Rajasthan
MER100102,Fuel,Noida,Telangana
MER100103,Retail,Kochi,West Bengal
MER100104,Fuel,Surat,Maharashtra
MER100105,Utilities,Kochi,West Bengal
MER100106,Utilities,Ahmedabad,Gujarat
MER100107,Grocery,Mysuru,Maharashtra
MER100108,Food & Dining,Kochi,Rajasthan
MER100109,Healthcare,Jaipur,Kerala
MER100110,Fuel,Kolkata,West Bengal
MER100111,Healthcare,Kochi,Kerala
MER100112,Education,Noida,Rajasthan
MER100113,E-commerce,Ahmedabad,Maharashtra
MER100114,Food & Dining,Kochi,Rajasthan
MER100115,E-commerce,Chennai,Kerala
MER100116,Grocery,Ahmedabad,Maharashtra
MER100117,E-commerce,Lucknow,Kerala
MER100118,Education,Hyderabad,Uttar Pradesh
MER100119,Fuel,Jaipur,West Bengal
MER100120,Education,Kolkata,Rajasthan
MER100121,Education,Mysuru,Kerala
MER100122,E-commerce,Hyderabad,Tamil Nadu
MER100123,Grocery,New Delhi,Telangana
MER100124,E-commerce,Kochi,Gujarat
MER100125,Education,Kolkata,Uttar Pradesh
MER100126,Utilities,Noida,Rajasthan
MER100127,Utilities,Ahmedabad,Karnataka
MER100128,Entertainment,Lucknow,West Bengal
MER100129,Grocery,Nagpur,West Bengal
MER100130,Grocery,Mysuru,West Bengal
MER100131,Education,Chennai,Delhi
MER100132,Fuel,Mumbai,Karnataka
MER100133,Healthcare,New Delhi,Maharashtra
MER100134,Travel,Surat,Rajasthan
MER100135,Travel,Bengaluru,Maharashtra
MER100136,Food & Dining,Mumbai,Karnataka
MER100137,Travel,Kochi,Telangana
MER100138,Healthcare,Mumbai,West Bengal
MER100139,Food & Dining,Nagpur,West Bengal
MER100140,Healthcare,Hyderabad,Kerala
MER100141,E-commerce,Noida,Karnataka
MER100142,Travel,Mysuru,Rajasthan
MER100143,Education,Kochi,Delhi
MER100144,Food & Dining,Lucknow,Karnataka
MER100145,Utilities,Bengaluru,Karnataka
MER100146,Retail,Chennai,Maharashtra
MER100147,Education,Bengaluru,Maharashtra
MER100148,Food & Dining,Nagpur,West Bengal
MER100149,Food & Dining,Jaipur,Uttar Pradesh
MER100150,Food & Dining,Hyderabad,Telangana
MER100151,Fuel,Surat,Rajasthan
MER100152,Retail,Chennai,Delhi
MER100153,Travel,Lucknow,Karnataka
MER100154,Retail,Lucknow,Karnataka
MER100155,Education,Lucknow,Maharashtra
MER100156,Food & Dining,Jaipur,West Bengal
MER100157,Education,Lucknow,Uttar Pradesh
MER100158,Travel,Noida,Delhi
MER100159,Food & Dining,Chennai,Gujarat
MER100160,Education,Kolkata,Karnataka
MER100161,Fuel,Ahmedabad,Rajasthan
MER100162,Entertainment,Bengaluru,Uttar Pradesh
MER100163,Food & Dining,Kochi,Tamil Nadu
MER100164,Grocery,Jaipur,Delhi
MER100165,Fuel,Chennai,Maharashtra
MER100166,Healthcare,Pune,Maharashtra
MER100167,Grocery,New Delhi,Gujarat
MER100168,Education,Hyderabad,Karnataka
MER100169,Food & Dining,Kolkata,Gujarat
MER100170,Fuel,Kochi,Uttar Pradesh
MER100171,Entertainment,Mumbai,Delhi
MER100172,Entertainment,Nagpur,Maharashtra
MER100173,Fuel,Ahmedabad,Maharashtra
MER100174,Food & Dining,Surat,Gujarat
MER100175,Grocery,Ahmedabad,Uttar Pradesh
MER100176,Utilities,Hyderabad,Delhi
MER100177,Retail,Lucknow,Gujarat
MER100178,Fuel,Jaipur,Gujarat
MER100179,Entertainment,Mysuru,Kerala
MER100180,Utilities,Hyderabad,Gujarat
MER100181,Healthcare,Kolkata,Gujarat
MER100182,Grocery,Pune,Gujarat
MER100183,Retail,Mysuru,Gujarat
MER100184,Fuel,Ahmedabad,Tamil Nadu
MER100185,Healthcare,New Delhi,West Bengal
MER100186,E-commerce,Mumbai,Karnataka
MER100187,Healthcare,Chennai,Gujarat
MER100188,Travel,New Delhi,West Bengal
MER100189,Utilities,Nagpur,Uttar Pradesh
MER100190,Travel,Nagpur,Tamil Nadu
MER100191,Healthcare,New Delhi,Tamil Nadu
MER100192,Grocery,Ahmedabad,Rajasthan
MER100193,E-commerce,Bengaluru,Kerala
MER100194,Fuel,Lucknow,West Bengal
MER100195,Grocery,Ahmedabad,Delhi
MER100196,Travel,Nagpur,Karnataka
MER100197,Grocery,Nagpur,Telangana
MER100198,Fuel,Lucknow,Tamil Nadu
MER100199,Grocery,Bengaluru,Uttar Pradesh
MER100200,Food & Dining,Jaipur,Rajasthan
MER100201,Retail,Pune,Delhi
MER100202,Education,Ahmedabad,West Bengal
MER100203,Fuel,Mysuru,Kerala
MER100204,Entertainment,Chennai,Karnataka
MER100205,Grocery,Chennai,Telangana
MER100206,E-commerce,Mumbai,Maharashtra
MER100207,Utilities,Lucknow,Uttar Pradesh
MER100208,Food & Dining,Lucknow,Karnataka
MER100209,Grocery,Jaipur,West Bengal
MER100210,Healthcare,Hyderabad,Gujarat
MER100211,Grocery,Pune,Tamil Nadu
MER100212,Fuel,Bengaluru,Delhi
MER100213,Travel,Mysuru,Karnataka
MER100214,Fuel,Ahmedabad,Maharashtra
MER100215,Travel,Mysuru,West Bengal
MER100216,Grocery,Lucknow,Kerala
MER100217,Utilities,Mumbai,Uttar Pradesh
MER100218,Education,Bengaluru,Kerala
MER100219,Education,Mysuru,Kerala
MER100220,Grocery,Kochi,Maharashtra
MER100221,Fuel,Jaipur,Kerala
MER100222,Food & Dining,Pune,Kerala
MER100223,E-commerce,Mumbai,Gujarat
MER100224,Entertainment,Noida,Telangana
MER100225,Healthcare,Noida,Kerala
MER100226,Grocery,Pune,Maharashtra
MER100227,E-commerce,Bengaluru,Kerala
MER100228,Healthcare,Hyderabad,Tamil Nadu
MER100229,Education,Nagpur,Telangana
MER100230,Utilities,Noida,Rajasthan
MER100231,Grocery,Jaipur,Delhi
MER100232,Food & Dining,Surat,Kerala
MER100233,Healthcare,Bengaluru,Gujarat
MER100234,Food & Dining,Bengaluru,Telangana
MER100235,Food & Dining,Mysuru,West Bengal
MER100236,Utilities,Mumbai,Rajasthan
MER100237,E-commerce,Noida,Kerala
MER100238,Education,Mumbai,Rajasthan
MER100239,E-commerce,Lucknow,Delhi
MER100240,Education,Hyderabad,Maharashtra
MER100241,Retail,Noida,Gujarat
MER100242,Grocery,Kochi,Karnataka
MER100243,Food & Dining,Mysuru,Kerala
MER100244,Utilities,New Delhi,Delhi
MER100245,Travel,Kochi,Kerala
MER100246,Utilities,Nagpur,West Bengal
MER100247,Food & Dining,Bengaluru,Maharashtra
MER100248,Travel,Kochi,Tamil Nadu
MER100249,Fuel,Surat,Kerala
MER100250,Food & Dining,Mysuru,Kerala
MER100251,Utilities,Chennai,Karnataka
MER100252,Grocery,Pune,West Bengal
MER100253,Retail,New Delhi,Gujarat
MER100254,Food & Dining,Noida,Tamil Nadu
MER100255,Food & Dining,Chennai,Tamil Nadu
MER100256,Food & Dining,Noida,Rajasthan
MER100257,E-commerce,Mysuru,Karnataka
MER100258,E-commerce,Lucknow,Tamil Nadu
MER100259,Grocery,Mysuru,Gujarat
MER100260,Retail,Lucknow,Maharashtra
MER100261,Travel,Kolkata,Maharashtra
MER100262,Education,Mysuru,Rajasthan
MER100263,Fuel,Noida,Karnataka
MER100264,Travel,Kolkata,Kerala
MER100265,Food & Dining,Kochi,Kerala
MER100266,E-commerce,New Delhi,West Bengal
MER100267,Grocery,Noida,Telangana
MER100268,Fuel,Surat,Tamil Nadu
MER100269,Retail,Surat,West Bengal
MER100270,Food & Dining,Mumbai,West Bengal
MER100271,E-commerce,Bengaluru,Maharashtra
MER100272,Retail,Chennai,Tamil Nadu
MER100273,Utilities,Noida,Kerala
MER100274,E-commerce,Jaipur,Rajasthan
MER100275,Healthcare,New Delhi,Uttar Pradesh
MER100276,Retail,Mysuru,Telangana
MER100277,Retail,Mysuru,Rajasthan
MER100278,E-commerce,Noida,Rajasthan
MER100279,Utilities,Noida,Gujarat
MER100280,Travel,Bengaluru,Uttar Pradesh
MER100281,Utilities,Mysuru,Delhi
MER100282,Retail,Noida,Tamil Nadu
MER100283,Retail,Pune,Maharashtra
MER100284,Grocery,Chennai,Telangana
MER100285,Education,Nagpur,Kerala
MER100286,Travel,Noida,Uttar Pradesh
MER100287,Education,Mumbai,Telangana
MER100288,Education,Lucknow,Rajasthan
MER100289,Retail,Lucknow,Karnataka
MER100290,Fuel,Pune,Maharashtra
MER100291,E-commerce,Mysuru,West Bengal
MER100292,Travel,Jaipur,Karnataka
MER100293,E-commerce,Hyderabad,Gujarat
MER100294,Fuel,Mysuru,Delhi
MER100295,Entertainment,Kolkata,Telangana
MER100296,Healthcare,Nagpur,Delhi
MER100297,Fuel,New Delhi,Maharashtra
MER100298,Fuel,Bengaluru,Rajasthan
MER100299,Food & Dining,Pune,Delhi
MER100300,Retail,Bengaluru,Tamil Nadu
MER100301,Grocery,Mysuru,Karnataka
MER100302,Grocery,New Delhi,Karnataka
MER100303,Retail,Mumbai,Kerala
MER100304,Utilities,Lucknow,Gujarat
MER100305,Utilities,Ahmedabad,West Bengal
MER100306,Grocery,Kochi,Gujarat
MER100307,E-commerce,Mumbai,Karnataka
MER100308,Travel,Noida,Delhi
MER100309,Education,Bengaluru,Tamil Nadu
MER100310,Food & Dining,Lucknow,Maharashtra
MER100311,Grocery,Hyderabad,Telangana
MER100312,Education,Bengaluru,Tamil Nadu
MER100313,Grocery,Mumbai,Telangana
MER100314,E-commerce,Chennai,Telangana
MER100315,Education,Chennai,Rajasthan
MER100316,Education,Nagpur,Uttar Pradesh
MER100317,Fuel,Kolkata,Telangana
MER100318,Grocery,Kochi,Uttar Pradesh
MER100319,E-commerce,Bengaluru,Tamil Nadu
MER100320,Education,Mumbai,Karnataka
MER100321,Food & Dining,Mumbai,Delhi
MER100322,Fuel,Nagpur,Tamil Nadu
MER100323,Retail,Mysuru,Telangana
