Refund_ID,Transaction_ID,Refund_Date,Refund_Amount,Refund_Reason,Refund_Status
REF100001,TXN10084312,17-04-2025,70.63,Product Return,Completed
REF100002,TXN10153025,07-06-2023,3671.01,Customer Request,Completed
REF100003,TXN10141968,27-02-2023,533.66,Customer Request,Completed
REF100004,TXN10111115,24-04-2023,1269.61,Product Return,Completed
REF100005,TXN10031009,27-10-2024,483.91,Customer Request,Completed
REF100006,TXN10174641,09-05-2025,1322.13,Duplicate Payment,Completed
REF100007,TXN10086134,22-01-2023,758.67,Failed Service,Completed
REF100008,TXN10057949,25-07-2024,1271.62,Merchant Cancellation,Completed
REF100009,TXN10075377,03-03-2023,796.68,Product Return,Completed
REF100010,TXN10058891,25-04-2024,247.46,Duplicate Payment,Completed
REF100011,TXN10069411,29-01-2025,766.06,Duplicate Payment,Completed
REF100012,TXN10120766,22-08-2023,275.24,Merchant Cancellation,Completed
REF100013,TXN10024639,25-09-2024,878.19,Product Return,Completed
REF100014,TXN10184926,08-11-2023,573.72,Duplicate Payment,Completed
REF100015,TXN10017325,18-05-2025,880.54,Duplicate Payment,Completed
REF100016,TXN10199357,07-10-2023,1308.37,Customer Request,Completed
REF100017,TXN10154727,27-04-2024,282.62,Customer Request,Completed
REF100018,TXN10112424,03-07-2025,353.88,Customer Request,Completed
REF100019,TXN10061344,12-03-2025,129.94,Product Return,Completed
REF100020,TXN10050353,12-11-2025,526.73,Product Return,Completed
REF100021,TXN10161770,11-10-2023,317.89,Duplicate Payment,Completed
REF100022,TXN10045225,18-12-2023,691.58,Duplicate Payment,Completed
REF100023,TXN10044029,17-07-2024,408.05,Failed Service,Rejected
REF100024,TXN10135324,06-05-2024,817.62,Customer Request,Completed
REF100025,TXN10198824,05-07-2025,1312,Customer Request,Completed
REF100026,TXN10113703,22-11-2023,667.47,Failed Service,Completed
REF100027,TXN10101909,23-06-2023,1544.03,Product Return,Completed
REF100028,TXN10065993,03-02-2024,2279.52,Failed Service,Completed
REF100029,TXN10096165,07-03-2025,281.95,Failed Service,Completed
REF100030,TXN10078492,07-01-2024,329.83,Failed Service,Completed
REF100031,TXN10008343,25-07-2024,532.85,Duplicate Payment,Completed
REF100032,TXN10196630,23-08-2025,1080.83,Failed Service,Completed
REF100033,TXN10196599,17-01-2025,680.35,Merchant Cancellation,Completed
REF100034,TXN10113393,19-02-2024,42.91,Duplicate Payment,Completed
REF100035,TXN10064468,10-09-2023,1043.51,Product Return,Completed
REF100036,TXN10165882,30-01-2023,2382.53,Product Return,Completed
REF100037,TXN10004367,12-03-2025,1142.61,Customer Request,Completed
REF100038,TXN10143699,12-01-2024,189.44,Duplicate Payment,Completed
