Transaction_ID,Fraud_Flag,Risk_Score,Risk_Level,Fraud_Type
TXN10000001,No,2,Low,No Fraud
TXN10000002,No,25,Low,No Fraud
TXN10000003,No,48,Medium,No Fraud
TXN10000004,No,66,High,No Fraud
TXN10000005,No,35,Medium,No Fraud
TXN10000006,No,72,High,No Fraud
TXN10000007,No,35,Medium,No Fraud
TXN10000008,No,59,Medium,No Fraud
TXN10000009,No,8,Low,No Fraud
TXN10000010,No,29,Low,No Fraud
TXN10000011,No,69,High,No Fraud
TXN10000012,No,17,Low,No Fraud
TXN10000013,No,77,High,No Fraud
TXN10000014,No,29,Low,No Fraud
TXN10000015,No,30,Low,No Fraud
TXN10000016,Yes,61,High,Merchant Fraud
TXN10000017,No,25,Low,No Fraud
TXN10000018,No,39,Medium,No Fraud
TXN10000019,No,38,Medium,No Fraud
TXN10000020,No,11,Low,No Fraud
TXN10000021,No,19,Low,No Fraud
TXN10000022,No,29,Low,No Fraud
TXN10000023,No,36,Medium,No Fraud
TXN10000024,No,8,Low,No Fraud
TXN10000025,No,68,High,No Fraud
TXN10000026,No,42,Medium,No Fraud
TXN10000027,No,23,Low,No Fraud
TXN10000028,No,79,High,No Fraud
TXN10000029,No,35,Medium,No Fraud
TXN10000030,No,78,High,No Fraud
TXN10000031,No,49,Medium,No Fraud
TXN10000032,No,36,Medium,No Fraud
TXN10000033,No,27,Low,No Fraud
TXN10000034,No,39,Medium,No Fraud
TXN10000035,No,41,Medium,No Fraud
TXN10000036,No,32,Medium,No Fraud
TXN10000037,No,54,Medium,No Fraud
TXN10000038,No,14,Low,No Fraud
TXN10000039,No,31,Medium,No Fraud
TXN10000040,No,21,Low,No Fraud
TXN10000041,No,63,High,No Fraud
TXN10000042,No,10,Low,No Fraud
TXN10000043,No,66,High,No Fraud
TXN10000044,Yes,68,High,Identity Fraud
TXN10000045,No,31,Medium,No Fraud
TXN10000046,No,7,Low,No Fraud
TXN10000047,No,45,Medium,No Fraud
TXN10000048,No,77,High,No Fraud
TXN10000049,No,7,Low,No Fraud
TXN10000050,No,66,High,No Fraud
TXN10000051,No,38,Medium,No Fraud
TXN10000052,No,60,Medium,No Fraud
TXN10000053,No,57,Medium,No Fraud
TXN10000054,No,2,Low,No Fraud
TXN10000055,No,67,High,No Fraud
TXN10000056,No,27,Low,No Fraud
TXN10000057,No,52,Medium,No Fraud
TXN10000058,No,43,Medium,No Fraud
TXN10000059,No,78,High,No Fraud
TXN10000060,No,48,Medium,No Fraud
TXN10000061,No,34,Medium,No Fraud
TXN10000062,No,25,Low,No Fraud
TXN10000063,No,52,Medium,No Fraud
TXN10000064,No,65,High,No Fraud
TXN10000065,No,48,Medium,No Fraud
TXN10000066,No,73,High,No Fraud
TXN10000067,No,66,High,No Fraud
TXN10000068,No,22,Low,No Fraud
TXN10000069,No,59,Medium,No Fraud
TXN10000070,No,18,Low,No Fraud
TXN10000071,No,76,High,No Fraud
TXN10000072,No,9,Low,No Fraud
TXN10000073,No,62,High,No Fraud
TXN10000074,No,10,Low,No Fraud
TXN10000075,No,53,Medium,No Fraud
TXN10000076,No,21,Low,No Fraud
TXN10000077,No,6,Low,No Fraud
TXN10000078,No,57,Medium,No Fraud
TXN10000079,No,46,Medium,No Fraud
TXN10000080,No,20,Low,No Fraud
TXN10000081,No,69,High,No Fraud
TXN10000082,No,23,Low,No Fraud
TXN10000083,No,2,Low,No Fraud
TXN10000084,No,66,High,No Fraud
TXN10000085,No,65,High,No Fraud
TXN10000086,No,34,Medium,No Fraud
TXN10000087,No,45,Medium,No Fraud
TXN10000088,No,17,Low,No Fraud
TXN10000089,No,70,High,No Fraud
TXN10000090,No,58,Medium,No Fraud
TXN10000091,No,38,Medium,No Fraud
TXN10000092,No,43,Medium,No Fraud
TXN10000093,No,60,Medium,No Fraud
TXN10000094,No,51,Medium,No Fraud
TXN10000095,No,35,Medium,No Fraud
TXN10000096,No,16,Low,No Fraud
TXN10000097,No,13,Low,No Fraud
TXN10000098,No,16,Low,No Fraud
TXN10000099,No,41,Medium,No Fraud
TXN10000100,No,76,High,No Fraud
TXN10000101,No,71,High,No Fraud
TXN10000102,No,49,Medium,No Fraud
TXN10000103,No,63,High,No Fraud
TXN10000104,No,39,Medium,No Fraud
TXN10000105,No,33,Medium,No Fraud
TXN10000106,No,74,High,No Fraud
TXN10000107,No,72,High,No Fraud
TXN10000108,No,49,Medium,No Fraud
TXN10000109,No,8,Low,No Fraud
TXN10000110,No,17,Low,No Fraud
TXN10000111,No,62,High,No Fraud
TXN10000112,No,11,Low,No Fraud
TXN10000113,No,32,Medium,No Fraud
TXN10000114,No,59,Medium,No Fraud
TXN10000115,No,70,High,No Fraud
TXN10000116,No,5,Low,No Fraud
TXN10000117,No,43,Medium,No Fraud
TXN10000118,No,3,Low,No Fraud
TXN10000119,No,27,Low,No Fraud
TXN10000120,No,23,Low,No Fraud
TXN10000121,No,47,Medium,No Fraud
TXN10000122,No,33,Medium,No Fraud
TXN10000123,No,19,Low,No Fraud
TXN10000124,No,45,Medium,No Fraud
TXN10000125,No,23,Low,No Fraud
TXN10000126,No,9,Low,No Fraud
TXN10000127,No,53,Medium,No Fraud
TXN10000128,No,20,Low,No Fraud
TXN10000129,No,16,Low,No Fraud
TXN10000130,No,64,High,No Fraud
TXN10000131,No,18,Low,No Fraud
TXN10000132,No,77,High,No Fraud
TXN10000133,No,67,High,No Fraud
TXN10000134,No,19,Low,No Fraud
TXN10000135,No,17,Low,No Fraud
TXN10000136,No,4,Low,No Fraud
TXN10000137,No,17,Low,No Fraud
TXN10000138,No,74,High,No Fraud
TXN10000139,No,56,Medium,No Fraud
TXN10000140,No,49,Medium,No Fraud
TXN10000141,No,32,Medium,No Fraud
TXN10000142,No,65,High,No Fraud
TXN10000143,No,3,Low,No Fraud
TXN10000144,No,50,Medium,No Fraud
TXN10000145,No,56,Medium,No Fraud
TXN10000146,No,26,Low,No Fraud
TXN10000147,No,35,Medium,No Fraud
TXN10000148,No,69,High,No Fraud
TXN10000149,No,51,Medium,No Fraud
TXN10000150,No,17,Low,No Fraud
TXN10000151,No,28,Low,No Fraud
TXN10000152,No,70,High,No Fraud
TXN10000153,No,63,High,No Fraud
TXN10000154,No,37,Medium,No Fraud
TXN10000155,No,76,High,No Fraud
TXN10000156,No,56,Medium,No Fraud
TXN10000157,No,57,Medium,No Fraud
TXN10000158,No,31,Medium,No Fraud
TXN10000159,No,47,Medium,No Fraud
TXN10000160,No,11,Low,No Fraud
TXN10000161,No,58,Medium,No Fraud
TXN10000162,No,34,Medium,No Fraud
TXN10000163,No,54,Medium,No Fraud
TXN10000164,No,55,Medium,No Fraud
TXN10000165,No,36,Medium,No Fraud
TXN10000166,No,75,High,No Fraud
TXN10000167,No,66,High,No Fraud
TXN10000168,No,17,Low,No Fraud
TXN10000169,No,47,Medium,No Fraud
TXN10000170,No,67,High,No Fraud
TXN10000171,No,19,Low,No Fraud
TXN10000172,No,25,Low,No Fraud
TXN10000173,No,53,Medium,No Fraud
TXN10000174,No,7,Low,No Fraud
TXN10000175,No,15,Low,No Fraud
TXN10000176,No,4,Low,No Fraud
TXN10000177,No,38,Medium,No Fraud
TXN10000178,No,44,Medium,No Fraud
TXN10000179,No,20,Low,No Fraud
