Transaction_ID,Customer_ID,Merchant_ID,Transaction_Date,Transaction_Amount,Payment_Method,Channel,Transaction_Status,Transaction_Fee,Currency
TXN10000001,CUST100720,MER101446,12-03-2025,1358.68,UPI,Mobile App,Success,10.87,INR
TXN10000002,CUST105363,MER100826,25-11-2024,2058.86,Debit Card,Mobile App,Success,10.29,INR
TXN10000003,CUST119839,MER101841,07-04-2025,257.53,Debit Card,Mobile App,Success,1.29,INR
TXN10000004,CUST106605,MER102534,16-12-2025,758.35,UPI,Mobile App,Failed,3.79,INR
TXN10000005,CUST103863,MER102392,09-12-2024,837.72,Debit Card,POS,Success,2.51,INR
TXN10000006,CUST114958,MER101248,22-01-2025,1891.58,UPI,Web,Success,15.13,INR
TXN10000007,CUST114767,MER101173,10-09-2025,1169.81,Credit Card,Mobile App,Success,2.34,INR
TXN10000008,CUST118084,MER100973,14-08-2025,1769.23,Credit Card,POS,Success,8.85,INR
TXN10000009,CUST102267,MER102195,25-04-2025,624.97,Net Banking,Mobile App,Failed,1.25,INR
TXN10000010,CUST109213,MER101700,15-06-2025,388.33,Debit Card,POS,Success,1.94,INR
TXN10000011,CUST113097,MER102498,09-12-2025,1110.55,Net Banking,Web,Success,2.22,INR
TXN10000012,CUST105719,MER102589,11-10-2024,1296.35,Net Banking,Mobile App,Success,6.48,INR
TXN10000013,CUST113927,MER102549,02-01-2024,2561.59,UPI,Web,Success,12.81,INR
TXN10000014,CUST115681,MER101869,02-07-2023,664.52,Debit Card,Mobile App,Success,1.33,INR
TXN10000015,CUST108319,MER101549,18-04-2024,1559.06,Net Banking,Web,Success,4.68,INR
TXN10000016,CUST113250,MER101383,31-05-2024,612.2,UPI,Web,Success,1.22,INR
TXN10000017,CUST114050,MER100357,07-04-2025,643.41,Wallet,Web,Success,1.29,INR
TXN10000018,CUST106526,MER102204,12-10-2025,433.4,UPI,Mobile App,Success,0.87,INR
TXN10000019,CUST113437,MER101019,10-10-2024,1819.4,UPI,Web,Success,3.64,INR
TXN10000020,CUST111540,MER100458,16-01-2025,1157.91,Debit Card,Mobile App,Success,3.47,INR
TXN10000021,CUST116300,MER101636,14-09-2025,1132.45,Net Banking,Mobile App,Success,5.66,INR
TXN10000022,CUST106176,MER101899,01-06-2025,1405.44,UPI,Mobile App,Success,4.22,INR
TXN10000023,CUST114157,MER101290,03-08-2025,318.76,Debit Card,Mobile App,Success,2.55,INR
TXN10000024,CUST114380,MER101564,10-01-2023,1093.69,UPI,Mobile App,Success,3.28,INR
TXN10000025,CUST110132,MER102185,28-09-2024,576.97,UPI,Mobile App,Success,2.88,INR
TXN10000026,CUST118994,MER100870,15-02-2023,959.02,Debit Card,Web,Success,2.88,INR
TXN10000027,CUST104626,MER100093,29-09-2024,693.21,UPI,Mobile App,Success,1.39,INR
TXN10000028,CUST119447,MER100935,15-03-2023,393.3,Credit Card,Web,Success,1.97,INR
TXN10000029,CUST103186,MER100603,06-02-2023,842.32,Debit Card,Web,Declined,2.53,INR
TXN10000030,CUST104383,MER102142,30-07-2024,748.78,Net Banking,Web,Success,1.5,INR
TXN10000031,CUST101936,MER102731,18-07-2025,283.51,Net Banking,Mobile App,Success,0.85,INR
TXN10000032,CUST105493,MER102227,02-07-2025,585.61,Credit Card,Mobile App,Success,1.76,INR
TXN10000033,CUST118624,MER100861,24-03-2025,795.86,Net Banking,Mobile App,Success,2.39,INR
TXN10000034,CUST116729,MER101725,04-01-2025,1074.3,Credit Card,POS,Success,2.15,INR
TXN10000035,CUST114386,MER101055,21-12-2024,304.55,Debit Card,Mobile App,Success,0.91,INR
TXN10000036,CUST118976,MER100839,05-08-2024,638.76,Wallet,Mobile App,Success,1.92,INR
TXN10000037,CUST115060,MER101838,03-10-2025,1007.52,UPI,Web,Success,5.04,INR
TXN10000038,CUST117839,MER100144,27-02-2023,185.57,UPI,Mobile App,Success,0.56,INR
TXN10000039,CUST111396,MER101810,03-07-2025,458.77,Net Banking,Web,Success,0.92,INR
TXN10000040,CUST118110,MER100944,02-08-2024,651.89,UPI,Mobile App,Success,1.3,INR
TXN10000041,CUST111210,MER100070,06-07-2024,2513.36,Debit Card,Mobile App,Success,5.03,INR
TXN10000042,CUST111471,MER101071,19-03-2023,2405.83,UPI,Mobile App,Success,7.22,INR
TXN10000043,CUST113868,MER102319,29-02-2024,643.8,UPI,Web,Failed,1.29,INR
TXN10000044,CUST100617,MER101175,13-12-2024,1761.53,Debit Card,POS,Success,5.28,INR
TXN10000045,CUST111807,MER101188,02-10-2023,904.4,Wallet,Web,Success,4.52,INR
TXN10000046,CUST113363,MER101728,04-11-2025,744.05,UPI,Mobile App,Success,1.49,INR
TXN10000047,CUST109259,MER101255,07-11-2023,868.82,UPI,Mobile App,Success,2.61,INR
TXN10000048,CUST113600,MER102464,13-11-2025,358.37,UPI,Mobile App,Success,0.72,INR
TXN10000049,CUST101348,MER102717,29-08-2023,815.23,Net Banking,Web,Success,1.63,INR
TXN10000050,CUST106430,MER100045,03-11-2025,1016.03,UPI,Web,Success,2.03,INR
TXN10000051,CUST110638,MER100946,27-12-2024,1230.06,UPI,Mobile App,Success,2.46,INR
TXN10000052,CUST112746,MER102893,02-11-2023,1450.28,UPI,Mobile App,Success,4.35,INR
TXN10000053,CUST118702,MER102911,09-10-2025,1112.15,UPI,Web,Success,3.34,INR
TXN10000054,CUST106571,MER100433,15-04-2025,217.09,Debit Card,Mobile App,Success,1.74,INR
TXN10000055,CUST110649,MER101460,25-04-2025,1187.29,UPI,Mobile App,Success,3.56,INR
TXN10000056,CUST107386,MER100637,05-05-2024,2117.59,UPI,Mobile App,Declined,6.35,INR
TXN10000057,CUST110406,MER100133,05-01-2023,539.01,UPI,Mobile App,Success,2.7,INR
TXN10000058,CUST115215,MER102395,09-09-2024,288.86,UPI,Web,Success,0.58,INR
TXN10000059,CUST111906,MER100465,02-07-2024,685.51,Credit Card,Web,Success,3.43,INR
TXN10000060,CUST108864,MER101733,18-11-2025,1192.91,UPI,Mobile App,Success,5.96,INR
